Category,State/UT/City,Rural Area (Near School/College/Educational Institution) - Male,Rural Area (Near School/College/Educational Institution) - Female,Rural Area (Near School/College/Educational Institution) - Transgender,Rural Area (Near School/College/Educational Institution) - Total,Rural Area (Near Residential Area) - Male,Rural Area (Near Residential Area) - Female,Rural Area (Near Residential Area) - Transgender,Rural Area (Near Residential Area) - Total,Rural Area (Near Religious Place) - Male,Rural Area (Near Religious Place) - Female,Rural Area (Near Religious Place) - Transgender,Rural Area (Near Religious Place) - Total,Rural Area (Near Recreation Place/Cinema Hall) - Male,Rural Area (Near Recreation Place/Cinema Hall) - Female,Rural Area (Near Recreation Place/Cinema Hall) - Transgender,Rural Area (Near Recreation Place/Cinema Hall) - Total,Rural Area (Near Factory) - Male,Rural Area (Near Factory) - Female,Rural Area (Near Factory) - Transgender,Rural Area (Near Factory) - Total,Rural Area (Others) - Male,Rural Area (Others) - Female,Rural Area (Others) - Transgender,Rural Area (Others) - Total,Rural Area (Sub Total) - Male,Rural Area (Sub Total) - Female,Rural Area (Sub Total) - Transgender,Rural Area (Sub Total) - Total,Urban Area (Near School/College/Educational Institution) - Male,Urban Area (Near School/College/Educational Institution) - Female,Urban Area (Near School/College/Educational Institution) - Transgender,Urban Area (Near School/College/Educational Institution) - Total,Urban Area (Near Residential Area) - Male,Urban Area (Near Residential Area) - Female,Urban Area (Near Residential Area) - Transgender,Urban Area (Near Residential Area) - Total,Urban Area (Near Religious Place) - Male,Urban Area (Near Religious Place) - Female,Urban Area (Near Religious Place) - Transgender,Urban Area (Near Religious Place) - Total,Urban Area (Near Recreation Place/Cinema Hall) - Male,Urban Area (Near Recreation Place/Cinema Hall) - Female,Urban Area (Near Recreation Place/Cinema Hall) - Transgender,Urban Area (Near Recreation Place/Cinema Hall) - Total,Urban Area (Near Factory/Industrial Area) - Male,Urban Area (Near Factory/Industrial Area) - Female,Urban Area (Near Factory/Industrial Area) - Transgender,Urban Area (Near Factory/Industrial Area) - Total,Urban Area (At Pedestrian Crossing) - Male,Urban Area (At Pedestrian Crossing) - Female,Urban Area (At Pedestrian Crossing) - Transgender,Urban Area (At Pedestrian Crossing) - Total,Urban Area (Others) - Male,Urban Area (Others) - Female,Urban Area (Others) - Transgender,Urban Area (Others) - Total,Urban Area (Sub Total) - Male,Urban Area (Sub Total) - Female,Urban Area (Sub Total) - Transgender,Urban Area (Sub Total) - Total,Grand Total - Male,Grand Total - Female,Grand Total - Transgender,Grand Total - Total
State,West Bengal,155,25,0,180,1029,121,0,1150,32,3,0,35,42,9,0,51,102,12,0,114,1932,301,0,2233,3292,471,0,3763,122,21,0,143,645,91,0,736,35,6,0,41,50,11,0,61,80,19,0,99,132,21,0,153,638,90,0,728,1702,259,0,1961,4994,730,0,5724
Union Territory,A & N Islands,1,0,0,1,5,0,0,5,1,0,0,1,0,0,0,0,0,0,0,0,5,1,0,6,12,1,0,13,2,0,0,2,3,0,0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,6,1,0,7,18,2,0,20
Union Territory,Chandigarh,0,0,0,0,1,1,0,2,1,0,0,1,0,0,0,0,0,0,0,0,2,1,0,3,4,2,0,6,2,0,0,2,8,0,0,8,0,3,0,3,8,0,0,8,5,1,0,6,0,0,0,0,57,14,0,71,80,18,0,98,84,20,0,104
Union Territory,D & N Haveli,2,0,0,2,19,4,0,23,4,0,0,4,0,0,0,0,7,2,0,9,3,0,0,3,35,6,0,41,1,0,0,1,6,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,8,42,7,0,49
Union Territory,Daman & Diu,4,0,0,4,2,1,0,3,0,0,0,0,4,0,0,4,6,3,0,9,0,0,0,0,16,4,0,20,0,0,0,0,3,1,0,4,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,8,1,0,9,24,5,0,29
Union Territory,Delhi (UT),5,0,0,5,41,6,0,47,1,0,0,1,2,0,0,2,9,0,0,9,41,3,0,44,99,9,0,108,24,2,0,26,261,28,0,289,23,3,0,26,15,0,0,15,36,2,0,38,65,13,0,78,839,89,0,928,1263,137,0,1400,1362,146,0,1508
Union Territory,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Union Territory,Puducherry,42,11,0,53,39,6,0,45,0,0,0,0,0,0,0,0,0,0,0,0,20,2,0,22,101,19,0,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,1,0,27,26,1,0,27,127,20,0,147
City,Agra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,4,0,58,158,31,0,189,23,7,0,30,13,6,0,19,18,0,0,18,2,0,0,2,0,0,0,0,268,48,0,316,268,48,0,316
City,Ahmedabad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,7,0,31,85,21,0,106,19,6,0,25,5,2,0,7,17,3,0,20,40,12,1,53,168,29,0,197,358,80,1,439,358,80,1,439
City,Allahabad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,13,0,34,19,14,0,33,15,10,0,25,18,12,0,30,23,9,0,32,7,8,0,15,73,41,0,114,176,107,0,283,176,107,0,283
City,Amritsar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,2,0,25,33,6,0,39,1,0,0,1,0,0,0,0,15,1,0,16,8,0,0,8,6,0,0,6,86,9,0,95,86,9,0,95
City,Asansol,0,0,0,0,47,2,0,49,0,0,0,0,0,0,0,0,1,0,0,1,53,4,0,57,101,6,0,107,1,0,0,1,73,6,0,79,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,108,18,0,126,183,24,0,207,284,30,0,314
City,Aurangabad,2,0,0,2,30,2,0,32,15,0,0,15,0,0,0,0,12,5,0,17,0,0,0,0,59,7,0,66,3,0,0,3,91,18,0,109,3,1,0,4,0,0,0,0,15,2,0,17,18,7,0,25,2,0,0,2,132,28,0,160,191,35,0,226
City,Bengaluru,1,0,0,1,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,6,31,1,0,32,118,18,0,136,10,2,0,12,24,3,0,27,28,7,0,35,34,2,0,36,409,75,0,484,654,108,0,762,660,108,0,768
City,Bhopal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,5,0,36,9,0,0,9,7,1,0,8,3,0,0,3,0,0,0,0,58,9,0,67,108,15,0,123,108,15,0,123
City,Chandigarh (City),0,0,0,0,1,1,0,2,1,0,0,1,0,0,0,0,0,0,0,0,2,1,0,3,4,2,0,6,2,0,0,2,8,0,0,8,0,3,0,3,8,0,0,8,5,1,0,6,0,0,0,0,57,14,0,71,80,18,0,98,84,20,0,104
City,Chennai,48,26,0,74,308,51,0,359,122,36,0,158,123,29,0,152,81,23,0,104,370,35,0,405,1052,200,0,1252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1052,200,0,1252
City,Coimbatore,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,6,0,21,12,2,0,14,6,2,0,8,3,0,0,3,71,6,0,77,9,0,0,9,0,0,0,0,116,16,0,132,116,16,0,132
City,Delhi (City),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,2,0,26,261,28,0,289,23,3,0,26,15,0,0,15,36,2,0,38,65,13,0,78,839,89,0,928,1263,137,0,1400,1263,137,0,1400
City,Dhanbad,6,0,0,6,63,2,0,65,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,73,2,0,75,1,0,0,1,46,1,0,47,1,0,0,1,1,0,0,1,0,0,0,0,2,0,0,2,0,0,0,0,51,1,0,52,124,3,0,127
City,Durg Bhilainagar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,3,72,11,0,83,0,0,0,0,0,0,0,0,5,2,0,7,0,0,0,0,0,0,0,0,79,14,0,93,79,14,0,93
City,Faridabad,9,1,0,10,8,2,0,10,0,0,0,0,0,0,0,0,0,0,0,0,48,8,0,56,65,11,0,76,12,1,0,13,14,4,0,18,0,0,0,0,0,0,0,0,18,4,0,22,98,10,0,108,67,7,0,74,209,26,0,235,274,37,0,311
City,Ghaziabad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,0,11,13,1,0,14,6,0,0,6,9,1,0,10,8,2,0,10,0,0,0,0,133,17,0,150,178,23,0,201,178,23,0,201
City,Gwalior,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,4,106,8,0,114,6,1,0,7,2,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,117,11,0,128,117,11,0,128
City,Hyderabad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,6,0,38,48,8,0,56,25,4,0,29,21,5,0,26,0,0,0,0,15,3,0,18,84,20,0,104,225,46,0,271,225,46,0,271
City,Indore,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,11,88,18,0,106,7,0,0,7,0,0,0,0,2,1,0,3,0,0,0,0,151,19,0,170,258,39,0,297,258,39,0,297
